"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","rt.sulfur.dioxide"
"4536",7.3,0.26,0.53,12.7,0.047,60.5,156,0.9984,3.06,0.45,9.1,6,7.77817459305202
"118",7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,6,4
"28",7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,5.65685424949238
"3584",7.7,0.24,0.3,1.4,0.041,15,102,0.9929,3.26,0.53,10.4,6,3.87298334620742
"151",7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7,6.78232998312527
"2164",8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6,5.56776436283002
"3692",7.4,0.22,0.26,8.8,0.027,23,112,0.9931,2.98,0.41,11.4,6,4.79583152331272
"1991",6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1,4,2.23606797749979
"147",5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,6,7.28010988928052
"3480",5.9,0.32,0.28,4.7,0.039,34,94,0.98964,3.22,0.57,13.1,7,5.8309518948453
"1248",7.2,0.21,0.34,1.1,0.046,25,80,0.992,3.25,0.4,11.3,6,5
"1072",8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5,5.65685424949238
"3713",6.3,0.2,0.18,10.6,0.045,57,159,0.99666,3.09,0.54,9.2,5,7.54983443527075
"242",7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5,4.79583152331272
"1908",7.9,0.37,0.3,2.7,0.029,64,158,0.9916,3.12,0.59,12,7,8
"4158",7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7,5.74456264653803
"1312",6.3,0.23,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7,6,6.08276253029822
"2983",7,0.2,0.31,8,0.05,29,213,0.99596,3.28,0.57,10.4,6,5.3851648071345
"3646",5.9,0.18,0.28,5.1,0.039,50,139,0.99165,3.16,0.44,11.3,6,7.07106781186548
"3261",7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,6.2449979983984
"4522",6.3,0.36,0.2,2,0.048,48,191,0.9929,3.17,0.51,9.6,5,6.92820323027551
"4760",6.6,0.17,0.26,7.4,0.052,45,128,0.99388,3.16,0.37,10,6,6.70820393249937
"4803",5.8,0.28,0.34,2.2,0.037,24,125,0.98986,3.36,0.33,12.8,8,4.89897948556636
"2569",6.8,0.28,0.36,7,0.043,60,207,0.99556,3.16,0.49,9.6,6,7.74596669241483
"3414",6.7,0.21,0.48,14.8,0.05,31,195,0.99942,2.95,0.75,8.8,6,5.56776436283002
"92",6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5,8.06225774829855
"418",6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5,7.54983443527075
"4567",8.6,0.36,0.26,11.1,0.03,43.5,171,0.9948,3.03,0.49,12,5,6.59545297913646
"4724",6.4,0.42,0.46,8.4,0.05,58,180,0.99495,3.18,0.46,9.7,6,7.61577310586391
"4827",6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,6,5.3851648071345
"2594",6.3,0.21,0.29,11.7,0.048,49,147,0.99482,3.22,0.38,10.8,5,7
"2670",6.8,0.26,0.4,7.5,0.046,45,179,0.99583,3.2,0.49,9.3,5,6.70820393249937
"3924",8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5,4
"2412",8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,6,7.07106781186548
"46",7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7,6.16441400296898
"2285",7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,8.18535277187245
"1154",5.3,0.395,0.07,1.3,0.035,26,102,0.992,3.5,0.35,10.6,6,5.09901951359278
"4395",6.3,0.2,0.26,12.7,0.046,60,143,0.99526,3.26,0.35,10.8,6,7.74596669241483
"3246",7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,5,6.08276253029822
"4503",7.1,0.25,0.31,2.3,0.05,32,156,0.9914,3.14,0.51,11.4,6,5.65685424949238
"391",7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,7.74596669241483
"3768",6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5,7.68114574786861
"4385",6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,5,7.14142842854285
"1423",5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,5,5
"4041",6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,5,6.92820323027551
"4192",7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,5,6
"2579",5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,7,6.70820393249937
"3326",6.8,0.25,0.28,5,0.035,42,126,0.99048,3.12,0.38,12.6,7,6.48074069840786
"4705",6.3,0.36,0.5,8.3,0.053,51,202,0.9955,3.2,0.51,9.6,6,7.14142842854285
"788",7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,5.56776436283002
"1781",8.4,0.17,0.31,5.4,0.052,47,150,0.9953,3.24,0.38,9.8,5,6.85565460040104
"3295",7.3,0.25,0.28,1.5,0.043,19,113,0.99338,3.38,0.56,10.1,6,4.35889894354067
"3184",6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,6,5.56776436283002
"484",6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5,5.56776436283002
"126",6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,6,7.93725393319377
"1104",7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,5,2.44948974278318
"1318",7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5,4.58257569495584
"4632",6.6,0.21,0.39,2.3,0.041,31,102,0.99221,3.22,0.58,10.9,7,5.56776436283002
"683",5.9,0.25,0.25,11.3,0.052,30,165,0.997,3.24,0.44,9.5,6,5.47722557505166
"698",7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5,7.87400787401181
"3281",6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,5,4.58257569495584
"2639",7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,6,6.48074069840786
"3612",6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,6,5.47722557505166
"1838",7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7,6.08276253029822
"2545",6.9,0.32,0.3,1.8,0.036,28,117,0.99269,3.24,0.48,11,6,5.29150262212918
"361",6.4,0.24,0.32,14.9,0.047,54,162,0.9968,3.28,0.5,10.2,6,7.34846922834953
"1238",7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,5,5.91607978309962
"3898",7,0.24,0.3,12.3,0.035,72,172,0.9954,2.99,0.57,10.4,6,8.48528137423857
"2429",7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6,5.65685424949238
"4820",5.7,0.4,0.35,5.1,0.026,17,113,0.99052,3.18,0.67,12.4,6,4.12310562561766
"1431",7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,4,2.82842712474619
"2632",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7,6
"2458",8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6,6
"436",6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,7,4.89897948556636
"3546",7.3,0.2,0.29,19.5,0.039,69,237,1.00037,3.1,0.48,9.2,6,8.30662386291807
"828",7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,9,5.19615242270663
"4870",6.6,0.24,0.33,10.1,0.032,8,81,0.99626,3.19,0.51,9.8,6,2.82842712474619
"4719",5.2,0.24,0.15,7.1,0.043,32,134,0.99378,3.24,0.48,9.9,6,5.65685424949238
"2974",6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,6,5.74456264653803
"2740",6.8,0.32,0.28,4.8,0.034,25,100,0.99026,3.08,0.47,12.4,7,5
"4577",5.9,0.3,0.29,1.1,0.036,23,56,0.9904,3.19,0.38,11.3,5,4.79583152331272
"4595",5.8,0.42,0.3,2.2,0.035,26,129,0.989,3.32,0.47,12.9,6,5.09901951359278
"3542",8.1,0.26,0.27,4.3,0.03,43,123,0.99212,3.16,0.33,11.2,6,6.557438524302
"2211",7.4,0.24,0.26,1.6,0.058,53,150,0.9936,3.18,0.5,9.9,7,7.28010988928052
"3596",7.2,0.16,0.29,1,0.031,40,123,0.98958,3.12,0.4,12.1,7,6.32455532033676
"130",6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6,6.78232998312527
"1366",6.7,0.13,0.28,1.2,0.046,35,140,0.9927,3.33,0.33,10.1,7,5.91607978309962
"1961",8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5,3.60555127546399
"4298",7,0.2,0.35,8.8,0.037,31,103,0.99388,3.13,0.49,11,6,5.56776436283002
"4299",5.6,0.26,0,10.2,0.038,13,111,0.99315,3.44,0.46,12.4,6,3.60555127546399
"2691",6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6,5.09901951359278
"546",6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,6,6.40312423743285
"729",6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5,6.48074069840786
"1601",7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6,6.08276253029822
"1243",8.1,0.43,0.42,6.6,0.033,36,141,0.9918,2.98,0.39,13.3,7,6
"1187",7.5,0.32,0.37,1.2,0.048,22,184,0.9938,3.09,0.43,9.3,5,4.69041575982343
"2633",6.8,0.44,0.2,16,0.065,61,186,0.99884,3.13,0.45,8.6,5,7.81024967590665
"3012",6.6,0.22,0.36,5.5,0.029,30,105,0.99206,3.2,0.47,11.8,6,5.47722557505166
"3057",6.9,0.28,0.41,1.4,0.016,6,55,0.98876,3.16,0.4,13.4,5,2.44948974278318
"2842",5.5,0.375,0.38,1.7,0.036,17,98,0.99142,3.29,0.39,10.5,6,4.12310562561766
"4761",6.6,0.17,0.26,7.4,0.052,45,128,0.99388,3.16,0.37,10,6,6.70820393249937
"3373",5.6,0.15,0.26,5.55,0.051,51,139,0.99336,3.47,0.5,11,6,7.14142842854285
"4613",5.8,0.34,0.21,7.2,0.041,48,146,0.99441,3.16,0.49,9.8,5,6.92820323027551
"2781",6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2,5,2
"4188",5.9,0.24,0.34,2,0.037,40,108,0.98948,3.19,0.5,12.3,6,6.32455532033676
"152",7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,6,7.61577310586391
"4801",6,0.2,0.33,1.1,0.039,45,126,0.99051,3.31,0.45,11.6,7,6.70820393249937
"4528",6.8,0.17,0.17,5.1,0.049,26,82,0.993,3,0.38,9.8,6,5.09901951359278
"4891",6.1,0.34,0.29,2.2,0.036,25,100,0.98938,3.06,0.44,11.8,6,5
"1049",8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,5,3.87298334620742
"31",8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6,4.47213595499958
"3637",6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3,7,3.46410161513775
"3815",7.4,0.34,0.28,12.1,0.049,31,149,0.99677,3.22,0.49,10.3,5,5.56776436283002
"1922",7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,5,6.32455532033676
"3135",6.5,0.16,0.33,4.8,0.043,45,114,0.992,3.18,0.44,11.2,6,6.70820393249937
"3842",6.6,0.21,0.5,8.7,0.036,41,191,0.99294,2.96,0.56,11,6,6.40312423743285
"2390",6.8,0.46,0.26,2.7,0.042,28,83,0.99114,3.38,0.51,12,8,5.29150262212918
"232",8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,6,6.16441400296898
"1876",6.6,0.31,0.38,16.05,0.058,16,165,0.9997,3.38,0.6,9.2,5,4
"4857",7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,6,5.09901951359278
"3277",6.6,0.23,0.3,4.6,0.06,29,154,0.99142,3.23,0.49,12.2,8,5.3851648071345
"3602",6.6,0.295,0.24,1.6,0.039,29,140,0.99304,3.35,0.61,10.4,7,5.3851648071345
"2514",6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,5,3.60555127546399
"3671",6.2,0.21,0.18,11.6,0.044,61,155,0.99655,3.14,0.52,9.4,6,7.81024967590665
"3378",7,0.4,0.25,1.8,0.05,51,189,0.99174,3,0.55,11.4,6,7.14142842854285
"4769",6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6,8.30662386291807
"2256",7.3,0.21,0.21,1.6,0.046,35,133,0.99466,3.38,0.46,10,6,5.91607978309962
"3159",7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7,6.2449979983984
"16",6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7,5.29150262212918
"4706",5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,6,5.65685424949238
"4564",5.6,0.26,0.27,10.6,0.03,27,119,0.9947,3.4,0.34,10.7,7,5.19615242270663
"4558",6.1,0.37,0.46,12,0.042,61,210,0.997,3.17,0.59,9.7,6,7.81024967590665
"2475",6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7,4.12310562561766
"1071",8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,7,5.65685424949238
"3950",6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5,6
"4555",6,0.23,0.34,1.3,0.025,23,111,0.98961,3.36,0.37,12.7,6,4.79583152331272
"877",6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,9,7.54983443527075
"2687",8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,6,7.21110255092798
"4685",6,0.24,0.34,1,0.036,52,184,0.99097,3.44,0.44,11.45,6,7.21110255092798
"1349",7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8,6.16441400296898
"4428",6.3,0.32,0.26,12.3,0.044,24,205,0.99611,3.11,0.58,9.9,5,4.89897948556636
"641",5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,7,5.74456264653803
"4712",5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6,5.56776436283002
"3061",6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5,7.61577310586391
"2914",7.7,0.18,0.3,1.2,0.046,49,199,0.99413,3.03,0.38,9.3,5,7
"3223",6.6,0.16,0.34,1.1,0.037,41,115,0.9899,3.01,0.68,12,6,6.40312423743285
"3122",7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5,4.89897948556636
"2324",7.6,0.2,0.34,1.8,0.041,42,148,0.99335,3.35,0.66,11.1,6,6.48074069840786
"1769",6.6,0.37,0.07,1.4,0.048,58,144,0.9922,3.17,0.38,10,5,7.61577310586391
"1400",7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6,5.65685424949238
"4799",5.9,0.32,0.19,14.5,0.042,37,115,0.99684,3.16,0.43,10.3,5,6.08276253029822
"2690",7.6,0.18,0.28,7.1,0.041,29,110,0.99652,3.2,0.42,9.2,6,5.3851648071345
"3732",7,0.34,0.26,10.3,0.041,51,166,0.99382,3.08,0.35,11.6,6,7.14142842854285
"4652",5.7,0.39,0.25,4.9,0.033,49,113,0.98966,3.26,0.58,13.1,7,7
"2641",7.4,0.2,0.37,1.2,0.028,28,89,0.99132,3.14,0.61,11.8,6,5.29150262212918
"4154",6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,5,7.07106781186548
"2266",6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5,7
"50",6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5,5.65685424949238
"3310",6.7,0.46,0.27,5.2,0.039,35,96,0.99129,3.16,0.44,12.4,7,5.91607978309962
"3103",6.5,0.29,0.26,7,0.04,18,113,0.99366,3.17,0.38,10.2,6,4.24264068711928
"632",7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,5,5.91607978309962
"3362",6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,6,5.09901951359278
"1378",6.9,0.28,0.41,1.7,0.05,10,136,0.993,3.16,0.71,11.4,6,3.16227766016838
"3283",6.7,0.12,0.36,2.3,0.039,43,125,0.99229,3.07,0.67,10.1,7,6.557438524302
"3947",6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5,6,5.56776436283002
"2304",6.9,0.44,0.18,11.8,0.051,26,126,0.9975,3.23,0.48,9.1,5,5.09901951359278
"419",7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6,5.19615242270663
"4859",6.4,0.35,0.51,7.8,0.055,53,177,0.99502,3.12,0.45,9.6,5,7.28010988928052
"824",6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,6,6
"3975",6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,6,5.91607978309962
"470",7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,5,7.68114574786861
"1983",7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,7.28010988928052
"2783",7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6,5.65685424949238
"2283",7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,8.18535277187245
"107",7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,8
"4289",7,0.2,0.33,4.7,0.03,25,76,0.99202,2.88,0.54,10.5,6,5
"4465",6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5,5.65685424949238
"445",6.9,0.24,0.36,20.8,0.031,40,139,0.9975,3.2,0.33,11,6,6.32455532033676
"1549",7.1,0.36,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8,6,5.65685424949238
"2028",6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,5,7.14142842854285
"4759",6.5,0.2,0.35,3.9,0.04,27,140,0.99102,2.98,0.53,11.8,6,5.19615242270663
"1616",7.5,0.19,0.49,1.6,0.047,42,140,0.9932,3.4,0.47,10.7,6,6.48074069840786
"140",8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,6,4.24264068711928
"3515",7.7,0.38,0.23,10.8,0.03,28,95,0.99164,2.93,0.41,13.6,6,5.29150262212918
"1751",7.4,0.18,0.3,10.4,0.045,44,174,0.9966,3.11,0.57,9.7,6,6.6332495807108
"1687",7.4,0.26,0.37,9.4,0.047,42,147,0.9982,3.46,0.72,10,5,6.48074069840786
"2316",7.7,0.42,0.38,8.1,0.061,49,144,0.9966,3.4,0.58,11,6,7
"1596",6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6,7.28010988928052
"3222",6.6,0.24,0.38,12.75,0.034,8,74,0.99386,3.1,0.57,12.9,6,2.82842712474619
"2089",8.7,0.15,0.3,1.6,0.046,29,130,0.9942,3.22,0.38,9.8,6,5.3851648071345
"1574",7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,5,4.58257569495584
"3276",6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8,4,5.65685424949238
"904",5.9,0.31,0.3,7.7,0.047,60,206,0.995,3.2,0.39,9.6,6,7.74596669241483
"1047",6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,5,4.79583152331272
"3263",7.6,0.19,0.32,18.75,0.047,32,193,1.00014,3.1,0.5,9.3,7,5.65685424949238
"1954",8.1,0.24,0.38,4.3,0.044,49,172,0.996,3.37,0.74,10.8,6,7
"3177",7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,6,4.89897948556636
"2355",6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6,5.09901951359278
"4500",5.2,0.38,0.26,7.7,0.053,20,103,0.9925,3.27,0.45,12.2,6,4.47213595499958
"4653",6.1,0.38,0.47,1.4,0.051,59,210,0.99309,3.24,0.5,9.6,5,7.68114574786861
"754",7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6,5.56776436283002
"2327",6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5,4.69041575982343
"3945",6.1,0.27,0.32,6.2,0.048,47,161,0.99281,3.22,0.6,11,6,6.85565460040104
"498",6.8,0.23,0.32,1.6,0.026,43,147,0.9904,3.29,0.54,12.5,6,6.557438524302
"2766",6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2,6,4.12310562561766
"1532",8.1,0.3,0.49,8.1,0.037,26,174,0.9943,3.1,0.3,11.2,7,5.09901951359278
"4295",7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,5,4.69041575982343
"3662",6.7,0.22,0.39,1.2,0.049,26,152,0.99346,3.5,0.47,10,6,5.09901951359278
"2631",5.9,0.445,0.26,1.4,0.027,23,109,0.99148,3.3,0.36,10.5,6,4.79583152331272
"1293",6.2,0.17,0.3,1.1,0.037,14,79,0.993,3.5,0.54,10.3,6,3.74165738677394
"1724",6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8,6.557438524302
"1667",7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,5,2.82842712474619
"4586",5,0.33,0.23,11.8,0.03,23,158,0.99322,3.41,0.64,11.8,6,4.79583152331272
